Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
11/5/2020,7.5,11.75,1.25,4.5,2,1.25,0,0,0,0,1.25,1.5,1.25,2,0.25,0,0.25,0.25,0.75,7,24
11/6/2020,8.25,10,0,2.75,2.5,0,0,0,0,3.75,0,1,1.25,1.25,1,1.75,0.25,0.25,0,7,24
11/7/2020,8.25,9.75,0,9.75,0,0,0,0,0,0,0,0,2.25,0.75,1,1.5,0.25,0.25,0,5,24
11/8/2020,8.25,9.75,4.5,2.75,2,0,0,0,0,0.5,0,0,1,1.25,1.75,0.75,0.25,0.25,0.75,6,24
11/9/2020,8,9,0,3.75,0,0,0,0,0,4,0,1.25,2.25,1.25,1.25,1.25,0.5,0,0.5,4,24
11/10/2020,8.5,6.5,0.25,3.5,2,0,0,0,0,0.75,0,0,2,2.5,2.25,1,0.25,0,1,6,24
11/11/2020,8.75,10.25,1.75,0.5,4,0.5,0,0,0,2.5,0,1,1.75,0.25,1,1,0.5,0.25,0.25,5,24
11/12/2020,8.5,10,0.75,3.25,5,0,0,0,0,0,0,1,1.5,0.5,1,0,0,0,2.5,7,24
11/13/2020,5.5,13.25,1.75,1,6.75,0,0,0,0,3.75,0,0,2.25,0.25,1,0.5,0.25,0,1,5,24
11/14/2020,7.5,11,0.5,7.25,2,0,0,0,0,0,0.5,0.75,1.25,0.5,0.75,1.75,0,0,1.25,8,24
11/15/2020,7.5,10.25,1,6.75,2.25,0,0,0,0,0.25,0,0,1,1.25,0.75,0,0.5,0.25,2.5,4,24
11/16/2020,10.75,5,2,2.25,0,0,0,0,0,0.75,0,0,1.5,1.5,0,0.5,0.25,0.25,4.25,2,24
11/17/2020,9.5,8.75,4.5,3.25,0,0,0,0,0,0,1,0,0.75,1,0,2,0.25,0.25,1.5,7,24
11/18/2020,8,8.75,1,1.5,0.25,4.75,0,0,0,0,0,1.25,3.75,1.25,0.75,0.75,0.25,0,0.5,7,24
11/19/2020,8,11.25,1.25,4,2.75,2.25,0,0,0,0,0,1,1.25,1.25,1,0,0.5,0.25,0.5,7,24
11/20/2020,8,9.25,0,2.75,4.25,0,0,0,0,0.5,1.75,0,2.25,2.25,0.5,1,0.5,0.25,0,5,24
11/21/2020,8,11.5,0,9.5,1.75,0.25,0,0,0,0,0,0,2,0.25,0.5,1,0,0.25,0.5,4,24
11/22/2020,7.5,9.5,0.5,8.5,0.25,0.25,0,0,0,0,0,0,1.5,0.5,0.75,0,0.25,0.25,3.75,2,24
11/23/2020,8,8.5,0,0,8.5,0,0,0,0,0,0,0,1.75,2,0.75,1.5,0,0.5,1,6,24
11/24/2020,8.25,11,4,1.5,4.5,0.25,0,0,0,0.25,0,0.5,1,0.75,0.5,0,0.75,0.25,1.5,8,24
11/25/2020,8,10.25,0.5,0,0,6.75,0,0,0,0,3,0,1.75,2.25,0.5,0,0.5,0.25,0.5,8,24
11/26/2020,8.25,7.5,1,0,0,1,0,0,0,0,5.5,0,3,2.25,0.25,0.5,0.25,0,2,6,24
11/27/2020,8.25,7,2.25,0,1,0,0,0,0,0,3.75,0,2,2,0,3,0.25,0.25,1.25,6,24
11/28/2020,9.25,6.5,0.25,0,3,0.75,0,0,0,0,2.5,0,3,2,1,0,0.5,0.25,1.5,6,24
11/29/2020,8.25,8.5,4,1.75,2.5,0,0,0,0,0,0.25,0,3.25,1.5,0,0,2,0,0.5,2,24
11/30/2020,8.25,9.25,0.5,2.75,4,1.75,0,0,0,0,0.25,0,1.75,2.25,0.25,0,2,0.25,0,8,24
12/1/2020,8.5,10.5,2,6,2.5,0,0,0,0,0,0,0,0.75,0.5,0.5,2,0.75,0.25,0.25,9,24
12/2/2020,7.75,9.75,1,5.75,1.25,0.75,0,0,0,0,0,1,1.75,2.5,0.5,0.5,0.75,0.25,0.25,8,24
12/3/2020,8.75,9.25,1,5.25,1.5,0,0,0,0,0,0,1.5,1.75,2,0.25,1.25,0.25,0.25,0.25,8,24
12/4/2020,7.25,11.5,0.5,3,7.5,0,0,0,0,0.5,0,0,1.5,1.25,0.25,1.25,0.25,0.25,0.5,6,24
