Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
4/6/2021,7.25,5.75,3,1.75,0,0,0,0,0,0.75,0,0.25,0.75,0,1.75,6,0.25,0,2.25,6,
4/7/2021,6.5,11,2,1.5,0,1.75,0.75,3.25,1.25,0,0.5,0,0.5,0,1.25,4.25,0.25,0.25,0,7,
4/8/2021,9,10.5,1.5,1.5,0.25,0,0,4.75,1.25,0.5,0,0.75,1.25,1,1,0.5,0.25,0.25,0.25,4,
4/9/2021,9.25,9,0,0,1,0,1.5,3,0.25,0,2,1.25,1,1,1,2.25,0.25,0,0.25,7,
4/10/2021,6.25,9.5,1.75,0,0,0,0,7.25,0,0,0,0.5,0.75,1,1,4.75,0.25,0,0.5,8,
4/11/2021,7.75,8,0,2,1,0,0.5,0,4.25,0,0,0.25,1.25,0,0.25,5,1.25,0,0.5,8,
4/12/2021,4,10,2.25,0,0.5,1.5,0.25,0,4,0.25,0.75,0.5,0.75,0.5,2.5,5,0.75,0,0.5,8,
4/13/2021,6.25,6.25,0,1.5,4.75,0,0,0,0,0,0,0,1.75,0.25,1.5,6.75,0,0.25,1,7,
4/14/2021,7,10,2,0,6.25,0,0.25,0,0,0,0,1.5,0.5,0.5,0.5,4,0.25,0,1.25,4,
4/15/2021,7.5,7.5,3.5,1.5,1.5,1,0,0,0,0,0,0,1.75,0,0.5,5.5,0.5,0,0.75,8,
4/16/2021,9,5,4,0,0,0,0.5,0,0,0.5,0,0,0.75,0.5,0,6.25,2.5,0,0,7,
4/17/2021,6.5,7,0.5,4.25,1.5,0,0,0,0.75,0,0,0,0.5,0.5,1,7.5,0.5,0,0.5,8,
4/18/2021,9,5.75,1.25,2.5,1.75,0,0,0,0.25,0,0,0,1.5,1.25,0,5.75,0,0.25,0.5,5,
4/19/2021,5.75,11.25,4.25,0,0,0,0,0,3.5,0.5,0,3,1.5,1.25,0.25,1.75,0.25,0.25,1.75,4,
4/20/2021,6.75,6,1.25,2.25,0,0.25,0,0,1,0.25,1,0,0.25,0.25,0,9,0.5,0,1.25,6,
4/21/2021,10.5,4.25,0.25,0,0.75,1.5,0,0,0,0.25,0,1.5,1.25,1.5,0.5,3,1,0.25,1.75,7,
4/22/2021,9,7,2.5,1.75,1.75,0,0,0,0,1,0,0,1,0.75,0.25,4.75,0.25,0,1,8,
4/23/2021,7.5,7.25,1.25,4.25,0,0,1,0,0,0.75,0,0,1.75,0,0,6.25,0.75,0,0.5,5,
4/24/2021,6,7.25,0,0.75,5.75,0,0,0,0,0,0.5,0.25,1.75,0.5,0.75,5.5,0.5,0.25,1.5,8,
4/25/2021,3.5,11.75,2.75,3.75,4.25,0,0,0,0.75,0,0.25,0,2,0,0,4.75,0.25,0.25,1.5,6,
4/26/2021,8.25,7,2.5,0,0.75,0,0.25,0,2,0.5,0,1,0.5,1,0,5.75,1.5,0,0,9,
4/27/2021,8.75,5,1.5,0,0,0,0,0,0,3,0,0.5,0.75,0,0,8,0.25,0,1.25,8,
4/28/2021,9.75,5.75,1,0,1,0,0,0,0,1.25,0,2.5,1.5,0,0,4.5,0.25,0,2.25,6,
4/29/2021,7.5,9.5,2.5,1,2.75,1.25,0,0.75,0,1.25,0,0,2.75,0.75,0,3,0.25,0,0.25,10,
4/30/2021,7.75,1,0,0,0.5,0,0,0,0,0.5,0,0,0.75,0,0,13.75,0.25,0,0.5,7,
5/1/2021,4.5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,10,
5/2/2021,6.5,6,0,0,3.25,0,0,2.75,0,0,0,0,0.75,0.75,0,9,0.5,0,0.5,7,
5/3/2021,6,14.25,0,0,7.75,0,0,6.25,0.25,0,0,0,1.5,0,0.5,0.5,0.75,0,0.5,9,
5/4/2021,7.5,6.75,2,1.75,1.75,0,0,0.25,0,0.5,0,0.5,1,0.75,0.5,6,0,0,1.5,8,
5/5/2021,8.25,8.25,1.75,0,3.5,0.25,0,0.75,0,0,0,2,1.25,0,0,4.75,0.25,0.5,0.75,6,
5/6/2021,5.5,3.25,0.75,2.5,0,0,0,0,0,0,0,0,1.5,0,0,13.5,0,0,0.25,7,
5/7/2021,8.5,2.75,0.75,0,2,0,0,0,0,0,0,0,1.5,0,0,11.25,0,0,0,6,
5/8/2021,7,3,0.5,0.5,0,0,0,0,1.5,0,0,0.5,1.5,0,0,10,0.5,0,2,8,
5/9/2021,10.75,4.5,4.5,0,0,0,0,0,0,0,0,0,1.75,0,0,5.25,0.5,0.25,1,4,
5/10/2021,8.75,6.75,6.75,0,0,0,0,0,0,0,0,0,0.75,0,0,4.25,1,0.25,2.25,8,
5/11/2021,6.5,11.25,11.25,0,0,0,0,0,0,0,0,0,1.25,0,1,1.5,0.5,0.25,1.75,8,
5/12/2021,6,7.5,7.5,0,0,0,0,0,0,0,0,0,1.75,0,0,7.5,0.25,0,1,9,
5/13/2021,9.75,3.25,2.5,0,0,0.75,0,0,0,0,0,0,0.5,0,0.5,8.25,1.25,0,0.5,9,
5/14/2021,6.5,2.75,0,0,0,0.5,0,0,0,0,2.25,0,1.25,0,0,11.25,0.25,0,2,7,
5/15/2021,8.75,4.25,1.5,0,0,0,0,0,0,0.25,2.5,0,0.25,0,0,8,1.25,0,1.5,8,
5/16/2021,12,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,1,10,0.5,0,0,9,
5/17/2021,9,0.5,0,0,0,0,0,0,0,0.25,0,0.25,2.25,0,0.5,10.5,0.75,0,0.5,9,
5/18/2021,8.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,15,0,0,0,5,
5/19/2021,7.75,1.5,0.25,0,0,0,0,0,0,0.75,0.5,0,1.75,1,1,6.75,1.75,0.25,2.25,7,
5/20/2021,9.5,1.75,0,1.5,0,0,0.25,0,0,0,0,0,1.25,0,0.5,10,1,0,0,8,
5/21/2021,9.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.25,0,0,0,9,
5/22/2021,8.5,2.75,1,0,1.75,0,0,0,0,0,0,0,2,0,0,9.5,0.5,0,0.75,8,
5/23/2021,8.75,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,14,0,0,0.5,9,
5/24/2021,7.75,0.5,0,0,0,0.5,0,0,0,0,0,0,0.75,2.5,0,11.5,0.5,0,0.5,9,
5/25/2021,10.25,4.25,3.5,0.25,0,0,0.5,0,0,0,0,0,1.5,0,0,7.25,0,0,0.75,7,
5/26/2021,8.75,3.75,2.5,0,0,0,0,0,1,0,0.25,0,1.25,0.75,2.5,5.25,1,0.5,0.25,9,
5/27/2021,8.5,8.5,0,1.5,6.25,0,0,0,0,0.25,0,0.5,1.5,0,1.75,2.25,0.25,0.5,0.75,7,
5/28/2021,8.75,5.25,0,0.75,3,0,0,0,0,1.5,0,0,1.25,0.75,1,4.75,0.75,0.25,1.25,7,
5/29/2021,6.25,7.25,0.5,3,2,1.5,0,0,0,0.25,0,0,0.75,0,0.5,7,1.25,0,1,6,
5/30/2021,10.25,0.5,0,0.5,0,0,0,0,0,0,0,0,3.25,0,2.25,3.5,1.25,0,0,4,
5/31/2021,11.5,4,0.75,0,1.75,0.5,0.5,0,0,0.5,0,0,1.25,0.5,0,1.25,4,0,1.5,8,
6/1/2021,8.25,11,0,0,5,0.25,5,0,0,0.75,0,0,1.25,0.5,0.25,2,0,0,0.75,8,
6/2/2021,6.5,12.5,0,0,2.75,0.25,6.25,0,0,3.25,0,0,0.75,0.5,0.5,1.5,0,0,1.75,8,
6/3/2021,9.5,8.5,0.5,0,0,0.5,6.5,0,1,0,0,0,1,0.75,1.25,1.5,0,0.5,1,5,
6/4/2021,5.25,5.75,0,0,0.5,0.75,0.75,0,2.25,0.25,1.25,0,2.75,1,2.75,2,1.25,0.25,3,7,
6/5/2021,9.25,5,4.5,0,0.5,0,0,0,0,0,0,0,2.5,2,1.5,1.25,0.25,0.5,1.75,4,
6/6/2021,7.25,7.5,1,0.5,0.75,4.25,0,0,0,0.5,0.5,0,1.5,0.5,2,3,0.75,0.25,1.25,8,
6/7/2021,5,10.75,1.5,0,2.25,0.25,4.5,0,1,0.75,0,0.5,1.75,1.75,0.5,1,0.75,0.5,2,6,
6/8/2021,8.75,8.25,3.5,0.5,2.5,0,1.75,0,0,0,0,0,1.5,1.5,0.5,1.5,0.75,0.5,0.75,4,
6/9/2021,9.5,7.5,1,0,1.75,2.25,1.75,0,0.75,0,0,0,1.25,0.75,2,2,0.25,0,0.75,7,
6/10/2021,7.25,6.25,0.75,1.5,1.75,0,1.75,0,0,0.5,0,0,2.75,0.5,0.75,4,0.25,0.5,1.75,7,
6/11/2021,6.25,7.25,0.75,0,1,2.25,3.25,0,0,0,0,0,1,1,1.75,4.5,1.25,0.25,0.75,7,
6/12/2021,9.75,3.75,3.25,0,0.25,0,0,0,0,0.25,0,0,1.75,1.25,0.75,4.75,0.75,0.5,0.75,6,
6/13/2021,8.5,2.5,0,0.75,1,0,0,0,0,0,0.75,0,2.5,0.75,2.25,5.75,0.5,0.25,1,8,
6/14/2021,7.25,4.25,0.25,0,0.75,0,3.25,0,0,0,0,0,2,1.25,1.5,5.5,0,0.25,2,7,
6/15/2021,6.25,3.75,0,0,1,0.75,2,0,0,0,0,0,1,0,0.5,9.5,1,0,2,7,
6/16/2021,6.75,12,0,0,2.25,0.5,6.25,0,0,1.25,0.75,1,1.25,0.75,1.5,0.5,0.25,0.25,0.75,8,
6/17/2021,8.75,9,0.75,0,2,1,4.5,0,0,0,0.75,0,1.5,0.75,2,0.75,0,0.5,0.75,8,
